Vendor Name	Thomas Munch
Start Date	03/29/2026
End Date	05/02/2026
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
04/12/2026	04/12/2026	6755629668	prosub	Pro Monthly		IAY	DK	3	12.92	38.76	DKK	19.000	DKK	S				
04/26/2026	04/26/2026	6755629668	prosub	Pro Monthly		IAY	DK	3	12.92	38.76	DKK	19.000	DKK	S				
04/28/2026	04/29/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/03/2026	04/04/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
03/29/2026	03/29/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/08/2026	04/08/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/11/2026	04/11/2026	6755629668	prosub	Pro Monthly		IAY	DK	2	12.92	25.84	DKK	19.000	DKK	S				
04/26/2026	04/27/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/17/2026	04/17/2026	6755629668	prosub	Pro Monthly		IAY	DK	1	12.92	12.92	DKK	19.000	DKK	S				
04/12/2026	04/12/2026	6755629668	prosub	Pro Monthly		IAY	FR	1	1.41	1.41	EUR	1.990	EUR	S				
04/25/2026	04/25/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/22/2026	04/22/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/08/2026	04/08/2026	6755629668	prosub	Pro Monthly		IAY	NL	2	1.40	2.80	EUR	1.990	EUR	S				
04/24/2026	04/25/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/20/2026	04/20/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/14/2026	04/14/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/26/2026	04/27/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/09/2026	04/09/2026	6755629668	prosub	Pro Monthly		IAY	NL	3	1.40	4.20	EUR	1.990	EUR	S				
04/23/2026	04/24/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/27/2026	04/27/2026	6755629668	prosub	Pro Monthly		IAY	NL	2	1.40	2.80	EUR	1.990	EUR	S				
04/06/2026	04/06/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/17/2026	04/18/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/24/2026	04/24/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/16/2026	04/17/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/15/2026	04/15/2026	6755629668	prosub	Pro Monthly		IAY	NL	1	1.40	1.40	EUR	1.990	EUR	S				
04/04/2026	04/05/2026	6755629668	prosub	Pro Monthly		IAY	NL	2	1.40	2.80	EUR	1.990	EUR	S				
04/17/2026	04/18/2026	6755629668	prosub	Pro Monthly		IAY	NO	1	19.72	19.72	NOK	29.000	NOK	S				
04/16/2026	04/16/2026	6755629668	prosub	Pro Monthly		IAY	NO	1	19.72	19.72	NOK	29.000	NOK	S				
04/25/2026	04/26/2026	6755629668	prosub	Pro Monthly		IAY	NO	1	19.72	19.72	NOK	29.000	NOK	S				
04/02/2026	04/02/2026	6755629668	prosub	Pro Monthly		IAY	NO	1	19.72	19.72	NOK	29.000	NOK	S				
05/02/2026	05/02/2026	6755629668	prosub	Pro Monthly		IAY	NO	1	19.72	19.72	NOK	29.000	NOK	S				
04/17/2026	04/17/2026	6755629668	prosub	Pro Monthly		IAY	NO	1	19.72	19.72	NOK	29.000	NOK	S				
04/26/2026	04/27/2026	6755629668	prosub	Pro Monthly		IAY	SE	2	19.72	39.44	SEK	29.000	SEK	S				
04/06/2026	04/06/2026	6755629668	prosub	Pro Monthly		IAY	SE	2	19.72	39.44	SEK	29.000	SEK	S				
04/19/2026	04/20/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
03/29/2026	03/29/2026	6755629668	prosub	Pro Monthly		IAY	SE	2	19.72	39.44	SEK	29.000	SEK	S				
04/13/2026	04/13/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/19/2026	04/19/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/24/2026	04/25/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/11/2026	04/11/2026	6755629668	prosub	Pro Monthly		IAY	SE	2	19.72	39.44	SEK	29.000	SEK	S				
04/02/2026	04/03/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/29/2026	04/29/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
05/02/2026	05/02/2026	6755629668	prosub	Pro Monthly		IAY	SE	2	19.72	39.44	SEK	29.000	SEK	S				
04/02/2026	04/02/2026	6755629668	prosub	Pro Monthly		IAY	SE	2	19.72	39.44	SEK	29.000	SEK	S				
04/30/2026	04/30/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/15/2026	04/15/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/29/2026	04/30/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/23/2026	04/23/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/14/2026	04/14/2026	6755629668	prosub	Pro Monthly		IAY	SE	2	19.72	39.44	SEK	29.000	SEK	S				
04/03/2026	04/04/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/07/2026	04/07/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/18/2026	04/19/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/18/2026	04/18/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
04/25/2026	04/25/2026	6755629668	prosub	Pro Monthly		IAY	SE	1	19.72	19.72	SEK	29.000	SEK	S				
